"species","species_short","longitude","latitude","date_obs","source","tmax_mean_c","prec_mean_annual","tas_current_july_c","tas_future_july_2050_c","delta_tas_july_c","elevation","eco_values","Temperature","Moisture","Landcover","Landforms","Climate_Re","W_Ecosystm","NDVI"
"Capra ibex","Ibex",7.758088,46.363247,"2025-04-03","GBIF",9.23461538461538,115.230769230769,6.18333333333338,16.35,10.1666666666666,1299,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.7353
"Capra ibex","Ibex",7.93,46.13,"2025-04-07","GBIF",6.25769230769237,123.846153846154,6.85000000000004,14.15,7.29999999999999,1701,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.729577777777778
"Capra ibex","Ibex",7.940647,46.127339,"2025-04-08","GBIF",7.36538461538464,113.153846153846,9.95000000000005,15.2500000000001,5.30000000000001,1619,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.602922222222222
"Capra ibex","Ibex",7.169451,46.172024,"2025-04-12","GBIF",14.0423076923077,93.2307692307692,9.45000000000005,20.7500000000001,11.3,814,103,"Cool Temperate","Moist","Cropland","Mountains","Cool Temperate Moist","Cool Temperate Moist Cropland on Mountains",0.681677777777778
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-02","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.34155,46.16393,"2025-04-20","GBIF",4.20384615384626,121.923076923077,8.55000000000003,11.35,2.79999999999999,2036,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.820633333333333
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-19","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-19","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-05","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-03","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-21","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.34155,46.16393,"2025-04-30","GBIF",4.20384615384626,121.923076923077,8.55000000000003,11.35,2.79999999999999,2036,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.820633333333333
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-22","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.34155,46.16393,"2025-04-11","GBIF",4.20384615384626,121.923076923077,8.55000000000003,11.35,2.79999999999999,2036,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.820633333333333
"Capra ibex","Ibex",7.34155,46.16393,"2025-04-27","GBIF",4.20384615384626,121.923076923077,8.55000000000003,11.35,2.79999999999999,2036,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.820633333333333
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-22","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-19","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-28","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-04","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-04","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.01789,46.16319,"2025-04-04","GBIF",13.7269230769231,93.5384615384615,14.5166666666667,20.2500000000001,5.73333333333335,833,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.864622222222222
"Capra ibex","Ibex",7.34155,46.16393,"2025-04-10","GBIF",4.20384615384626,121.923076923077,8.55000000000003,11.35,2.79999999999999,2036,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.820633333333333
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-14","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
"Capra ibex","Ibex",7.34155,46.16393,"2025-04-30","GBIF",4.20384615384626,121.923076923077,8.55000000000003,11.35,2.79999999999999,2036,97,"Cool Temperate","Moist","Forest","Mountains","Cool Temperate Moist","Cool Temperate Moist Forest on Mountains",0.820633333333333
"Capra ibex","Ibex",6.82167,46.3422,"2025-04-19","GBIF",7.49615384615385,165.307692307692,9.88333333333336,13.35,3.46666666666666,1859,107,"Cool Temperate","Moist","Grassland","Mountains","Cool Temperate Moist","Cool Temperate Moist Grassland on Mountains",0.806622222222222
